laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,TouchScreen
20,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,3,1.22,979.00,1
21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,3,0.98,192.30,0
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,3,2.5,999.00,0
23,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,2,1.86,258.00,0
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.62,819.00,1
25,HP,15-BS101nv,Ultrabook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,3,1.91,659.00,0
26,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3,2.3,419.04,0
27,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,4,1.35,1099.00,0
28,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,3,2.2,800.00,0
29,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,3,1.88,1298.00,0
30,HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,3,2.5,896.00,0
31,Chuwi,LapBook 15.6,Notebook,15.6,1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,3,1.89,245.39,0
32,Asus,E402WA-GA010T,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,3,1.65,199.00,0
33,HP,17-ak001nv,Notebook,17.3,1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,3,2.71,439.00,0
34,Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,3,1.2,1869.00,1
35,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,4,1.35,998.00,0
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,3,1.44,249.00,0
37,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,5,2.1,367.00,0
38,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,3,2.8,979.00,0
39,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,3,1.86,489.09,0
40,HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,3,2.1,879.00,0
41,Asus,X540UA-DM186,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,5,2,389.00,0
42,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,3,2.65,1499.00,0
43,Asus,X542UQ-GO005,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,5,2.3,523.39,0
44,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,3,2.2,682.00,0
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,3,2.77,999.00,1
46,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,1,1.37,1419.00,0
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,2,2.2,369.00,0
48,Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,3,3.2,1299.00,0
49,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,3,2.3,639.00,0
50,Asus,X751NV-TY001T,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,3,2.8,466.00,0
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,6,0.69,319.00,1
52,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,3,2.2,841.00,0
53,HP,255 G6,Notebook,15.6,1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,3,1.86,398.49,0
54,HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,3,1.49,1103.00,0
55,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,3,2.4,384.00,0
56,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,3,2.13,768.20,0
57,HP,15-bs002nv,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3,1.91,439.00,0
58,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,3,2,586.19,0
59,MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,3,2.43,2449.00,0
60,Asus,X541UA-DM1897,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,5,2,415.00,0
61,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,3,2.8,1299.00,0
62,Dell,Vostro 5471,Ultrabook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.7,879.00,0
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,2,1.7,599.00,0
64,Asus,UX410UA-GV350T,Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.4,941.00,0
66,HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,3,1.86,690.00,0
67,Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,3,1.8,1983.00,0
68,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,3,1.86,439.09,0
69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,3,1.44,229.00,0
70,Lenovo,V310-15ISK,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,3,1.9,549.00,0
71,Asus,FX753VE-GC093,Gaming,17.3,1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,5,3,949.00,0
72,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,7,1.252,1089.00,1
73,Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,3,1.4,955.00,0
74,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,3,2.2,870.00,0
75,MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,3,2.7,1095.00,0
76,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,3,2.1,389.00,0
77,Asus,FX503VD-E4022T,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,3,2.2,949.00,0
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,2,2.2,519.00,0
79,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,3,2.02,855.00,0
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,3,2.2,530.00,0
81,HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,3,2.5,977.00,0
82,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.88,1096.16,0
83,Apple,MacBook 12,Ultrabook,12.0,2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,1,0.92,1510.00,0
84,HP,ProBook 440,Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,3,1.63,860.00,0
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,3,2.2,399.00,0
86,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,3,2.1,395.00,0
87,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,3,2.65,1349.00,0
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,3,1.83,699.00,0
89,HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,3,1.96,599.39,0
90,Asus,FX503VM-E4007T,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,3,2.2,1449.00,0
91,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.21,1649.00,0
92,Asus,FX550IK-DM018T,Gaming,15.6,1920x1080,AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,3,2.45,699.00,0
93,Acer,Aspire 5,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,3,2.2,689.00,0
94,HP,Probook 430,Notebook,13.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,3,1.49,1197.00,0
95,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,3,2.65,1195.00,0
96,Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,3,1.25,1049.00,0
97,Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.5,847.00,1
98,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,5,2.2,600.30,0
99,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,5,2.2,485.00,0
100,Asus,X541UV-DM1439T,Notebook,15.6,1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,3,2,577.00,0
102,HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,3,2.62,1249.00,0
103,HP,15-bs017nv,Notebook,15.6,1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,3,1.91,719.00,0
104,HP,15-bw000nv,Notebook,15.6,1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,3,2.1,349.00,0
105,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,5,2.2,647.00,0
106,HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,3,1.38,1119.00,0
107,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,7,1.252,1340.00,1
108,HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,3,1.58,659.00,0
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3,1.85,415.30,0
110,Asus,UX430UQ-GV209R,Ultrabook,14.0,1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,3,1.3,1193.00,0
111,MSI,GP62M 7REX,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,3,2.2,1299.00,0
112,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,3,1.58,1480.00,0
113,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,3,1.5,1262.00,0
114,Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,3,1.23,1379.00,1
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,3,1.37,1399.00,1
116,HP,Probook 440,Notebook,14.0,1366x768,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,3,1.63,722.00,0
117,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.21,1629.00,0
118,HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.26,1399.39,1
119,HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,3,1.63,1084.00,0
120,Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,3,2.16,1130.33,0
121,Asus,X705UV-BX074T,Notebook,17.3,1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,3,2,564.00,0
122,Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,3,1.7,1118.00,0
123,Acer,Spin 3,Notebook,15.6,1920x1080,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,3,2.1,479.00,1
124,MSI,GS63VR 7RG,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,3,1.8,2241.50,0
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,2,2.2,629.00,0
126,HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX,3,2.5,1271.00,0
127,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,3,2.1,451.00,0
128,HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,2,1.86,259.00,0
129,HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,3,1.63,812.00,0
130,Asus,E402WA-GA007T,Notebook,14.0,1366x768,AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,7,1.65,278.39,0
131,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,3,2.8,1396.00,0
132,HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,3,2.5,928.00,0
133,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,3,2.36,639.39,0
134,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,3,2.2,449.00,0
135,Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.6,884.00,0
136,Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,3,2.2,572.00,0
137,HP,15-BS078nr,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Intel HD Graphics 620,3,2.05,598.00,0
138,HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.63,988.00,0
139,Lenovo,V110-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,2,1.9,252.36,0
140,Asus,FX753VD-GC086T,Gaming,17.3,1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,3,3,938.00,0
141,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,2,2.2,499.00,0
142,HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,3,1.32,699.00,0
143,Acer,Aspire 5,Notebook,17.3,1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,3,3,655.00,0
144,Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon RX 550,3,1.75,1116.02,0
145,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050M,2,2.4,869.00,0
146,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,3,2.1,602.00,0
147,HP,255 G6,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,3,1.86,369.00,0
148,Asus,ZenBook UX430UA,Ultrabook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.25,1099.00,0
149,HP,EliteBook Folio,Ultrabook,12.5,3840x2160,Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,3,0.97,2014.00,1
150,Asus,X541NA,Notebook,15.6,1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,3,2,344.00,0
151,MSI,GE72MVR 7RG,Gaming,17.3,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,3,2.9,2029.00,0
152,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3,2.1,447.00,0
153,Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,3,2.56,1249.26,0
154,Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1.0TB Hybrid,Nvidia GeForce GTX 1050,3,2.62,899.00,0
155,Lenovo,V110-15IKB,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,3,1.9,498.00,0
156,MSI,GE73VR 7RE,Gaming,17.3,1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,3,2.8,1890.00,0
157,HP,EliteBook 840,Ultrabook,14.0,1920x1080,Intel Core i5 7500U 2.7GHz,4,256GB SSD,Intel HD Graphics 620,3,1.48,1082.00,0
158,HP,15-BS103nv,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,6,256GB SSD,AMD Radeon 520,3,1.91,619.00,0
159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,1920x1080,Intel Core i3 7100U 2.4GHz,4,256GB SSD,Intel HD Graphics 620,3,1.74,629.00,1
160,Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,3,1.1,1315.00,1
161,Dell,Inspiron 5579,2 in 1 Convertible,15.6,1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,3,1.56,1049.00,1
163,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4,500GB HDD,Intel HD Graphics 520,3,2.1,447.00,0
164,Asus,X555BP-XX180T,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,3,2.03,403.00,0
165,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Nvidia GeForce MX150,3,3,805.00,0
166,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,3,2.13,728.00,0
